"","id","created_time","snippet","headline","news_desk","company_name"
"3025",5,"2017-03-22T09:00:27+0000","Lt. Gen. Jack Weinstein of the Air Force said the United States’ nuclear policy toward Russia “has got to be some behavior that gets them to the table.”","U.S. General Urges Nuclear Upgrade as Russia Grows ‘More Aggressive’","Foreign","American Express"
"3026",6,"2017-07-28T09:53:09+0000","The moves, which had been threatened for weeks, were the Kremlin’s first retaliatory steps against proposed new American sanctions.","Russia Seizes 2 U.S. Properties and Orders Embassy to Cut Staff","Foreign","American Express"
"3027",7,"2017-11-10T10:39:00+0000","Here’s what you need to know to start your day.","Steve Bannon, Louis C.K., ‘Murder on the Orient Express’: Your Friday Briefing","NYTNow","American Express"
"3028",8,"2017-04-08T15:05:56+0000","President Trump showed that the United States backs up its words with action.","A Strike in Syria Restores Our Credibility in the World","OpEd","American Express"
"3029",9,"2017-12-19T05:45:16+0000","Why does the United States continue to support a strongman who abets assassination and destroys democracy?","America’s Blind Eye to Honduras’s Tyrant","OpEd","American Express"
"3030",10,"2017-09-11T07:21:01+0000","Trying to maintain hope in today’s America.","Soul Survival in Trump’s Hell","Editorial","American Express"
"3031",1,"2017-01-16T03:58:09+0000","The president-elect called NATO “obsolete,” praised Brexit and expressed hope for a nuclear deal with Russia in a wide-ranging interview with European newspapers.","Trump Criticizes NATO and Hopes for ‘Good Deals’ With Russia","Foreign","American Express"
"3032",2,"2017-11-10T10:39:00+0000","Here’s what you need to know to start your day.","Steve Bannon, Louis C.K., ‘Murder on the Orient Express’: Your Friday Briefing","NYTNow","American Express"
"3033",3,"2017-01-31T20:28:41+0000","The cable, asserting that the president’s order on immigration will not make the nation safer, has wended through dozens of embassies and is still spreading.","State Dept. Dissent Cable on Trump’s Ban Draws 1,000 Signatures","Foreign","American Express"
"3034",4,"2017-12-19T05:45:16+0000","Why does the United States continue to support a strongman who abets assassination and destroys democracy?","America’s Blind Eye to Honduras’s Tyrant","OpEd","American Express"
"3035",5,"2017-06-05T08:00:22+0000","A book documents the complex history of black soldiers, illuminating their triumphs and challenges.","Black Soldiers: Fighting America’s Enemies Abroad and Racism at Home","","American Express"
"3036",6,"2017-01-22T22:46:51+0000","Visitors respond in varying ways to exhibits at the National Museum of African American History and Culture and the National Portrait Gallery.","Two Museum Exhibits, Refracting a Divide","Culture","American Express"
"3037",7,"2017-07-21T22:28:35+0000","Several members of the Afghan security forces were killed in Helmand Province, an area where they have already been suffering heavy casualties.","American Airstrike Hits Afghan Security Forces","Foreign","American Express"
"3038",8,"2017-02-03T01:09:00+0000","Ms. Haley made it clear at an open briefing of the United Nations Security Council that American sanctions imposed on Russia would remain in place.","Trump’s U.N. Envoy, Nikki Haley, Condemns Russia’s ‘Aggressive Actions’ in Ukraine","Foreign","American Express"
"3039",9,"2017-09-21T18:14:51+0000","When you’re on the Brooklyn-Queens Expressway, the only question is, will you ever get off it?","Is This the Least-Loved Highway in America?","Metro","American Express"
"3040",10,"2017-04-03T02:34:24+0000","The purpose of the trip by Mr. Kushner, the son-in-law of President Trump, was unclear, though it came amid the fight to wrest Mosul from the Islamic State.","Jared Kushner Visits Iraq on Invitation From Joint Chiefs Chairman","National","American Express"
"3041",1,"2017-09-21T18:14:51+0000","When you’re on the Brooklyn-Queens Expressway, the only question is, will you ever get off it?","Is This the Least-Loved Highway in America?","Metro","American Express"
"3042",2,"2017-08-30T17:59:14+0000","Members of the Onondaga Nation wanted one of their own as principal. In a compromise, a Native American teacher will be groomed to possibly take over.","Compromise Reached in Boycott of Native American School","Metro","American Express"
"3043",3,"2017-07-21T22:28:35+0000","Several members of the Afghan security forces were killed in Helmand Province, an area where they have already been suffering heavy casualties.","American Airstrike Hits Afghan Security Forces","Foreign","American Express"
"3044",4,"2017-03-21T09:00:04+0000","When Americans start accusing one another of violating the nation’s spirit, it’s a good sign we can’t agree on what that spirit even is.","How ‘Un-American’ Became the Political Insult of the Moment","Magazine","American Express"
"3045",5,"2017-04-15T11:57:34+0000","Former President Hamid Karzai called his successor “a traitor” for allowing the United States to drop a giant bomb in Afghanistan.","Calling Successor a ‘Traitor’, Afghan Ex-Leader Denounces U.S. Bombing","Foreign","American Express"
"3046",6,"2017-07-03T07:21:06+0000","A madman and his legislative minions are holding America hostage.","The Hijacked American Presidency","Editorial","American Express"
"3047",7,"2017-02-15T16:10:53+0000","The defense secretary said the United States could “moderate its commitment” to NATO if members did not increase military spending.","Defense Secretary Mattis Tells NATO Allies to Spend More, or Else","Foreign","American Express"
"3048",8,"2017-12-03T23:26:22+0000","Critics said the Trump administration’s withdrawal from U.N. talks on the migration crisis had reinforced an image of renewed American isolationism.","U.S. Quits Migration Pact, Saying It Infringes on Sovereignty","Foreign","American Express"
"3049",9,"2017-01-31T16:00:57+0000","The American ambassador to the nation countered President Rodrigo Duterte’s accusation, saying there was never a plan to build any depots there.","U.S. Isn’t Building Arms Depot in the Philippines, Envoy Says","Foreign","American Express"
"3050",10,"2017-10-15T15:51:46+0000","The insurgent group said a statement by Joshua Boyle, who was freed from five years of captivity in Afghanistan, was “fed by the enemy.”","Taliban Deny Fighters Raped American Hostage and Killed Baby","Foreign","American Express"
"3051",1,"2017-11-03T16:00:16+0000","Graduate programs in STEM have the highest percentage of international students of any broad academic field. Why don’t the locals bother?","The Disappearing American Grad Student","EdLife","American Express"
"3052",2,"2017-03-08T21:06:50+0000","At the company’s shareholder meeting, Robert A. Iger told those who want him to quit the president’s business policy forum that he was using it to share his values with Mr. Trump.","Disney Chief: My Role on a Trump Panel Is ‘Not an Endorsement’","Business","American Express"
"3053",3,"2017-05-25T21:07:10+0000","From the changing demographics of the No. 7 train to the ruins of Jewish resorts in the Catskills, new publications reveal the metropolitan area.","Guides for Exploring New York","Metropolitan","American Express"
"3054",4,"2017-08-31T16:53:53+0000","The order to close the consulate and two diplomatic annexes, in New York and Washington, was expected since Russia told the United States to cut its diplomatic staff there.","In Retaliation, U.S. Orders Russia to Close Consulate in San Francisco","Washington","American Express"
"3055",5,"2017-08-05T10:54:03+0000","The order said Huang Jing had tried to influence Singapore’s foreign policy on behalf of an unnamed foreign government.","Singapore Orders Expulsion of American Academic","Foreign","American Express"
"3056",6,"2017-11-04T10:00:30+0000","At a nightclub in Liberia, the photographer Yagazie Emezi found a stylish music scene unencumbered by the country’s past.","The Ease of Monrovia’s ‘Hipco’ Clubs","Styles","American Express"
